Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
lymphnode_4a,0.368656428448756,0.071874189226123,0,0,0,0.258923500706906,0.0430993031972914,0.0730474252910742,0,0,0.0337304788308766,0,0.0126598708960471,0.04907108514295,0.0200144003416354,0.0687948463551516,0,0,0.000128471563188259,0,0,0,0,0.567752742735867,0.822482070665862
lymphnode_4b,0.275987320860139,0.145487631708938,0,0.022974759032523,0.288690987312615,0.0827822622437036,0.033939927750212,0,0,0,0.0223142620018494,0,0,0.0331606855914241,0.0253825043460161,0.0564428475680503,0,0.00655618539792591,0.00628062618660296,0,0,0,0,0.625285955327516,0.78183373697314
lymphnode_5a,0.251806044200612,0.198001798213167,0,0,0,0.261816332327418,0.0409210888497173,0.07756791802268,0,0,0.024261939442299,0,0.00528523549203003,0.0614327145742461,0.0499811202761416,0.0177878781578178,0,0.00785454625777329,0.00328338418609796,0,0,0,0,0.484429217157371,0.877008430200755
lymphnode_5b,0.0347103507771017,0.145330098309733,0,0.217108646712051,0.00605613059472664,0.185464371206204,0.0217583209387091,0.00362251470537997,0,0,0.00405791226547977,0,0.0237457890275581,0.0414550084647543,0.0776300882950442,0.191430409388966,0,0,0.0476303593142921,0,0,0,0,0.300920748206249,0.962439347736035
lymphnode_5c,0.276223621936108,0.125454767488878,0,0.00423264539882345,0.0956721710575234,0.277194994001846,0.0236959257474003,0.0237879783905523,0,0,0.0293499511674313,0,0.0113352399997637,0.0662608061773327,0.0308726649275892,0.0359192337067514,0,0,0,0,0,0,0,0.589037673998134,0.808371208211554
spleen_3a,0.0564142193897561,0.409620408234198,0,0,0.0773359047967322,0.156273424158147,0,0,0,0,0.0704279657547753,0,0.110983458489581,0.00513670089932286,0.0165557972472389,0.0463246609862669,0,0.00574116309004439,0.0114622674578904,0,0,0.033724029496047,0,0.588765011076183,0.809591432817256
spleen_3b,0.197014313140939,0.184113488694437,0,0.106977474405983,0.0716496707391211,0.0730106995509116,0,0.00156345772783147,0,0,0.111028471853364,0,0.0875687315549225,0.0096206080550579,0.0205991320208342,0.0847451164258012,0,0.000493169560665982,0.0177278134386509,0,0.00402588620923844,0.0298619666222414,0,0.500428825481714,0.864990486630228
spleen_3c,0.128456285824852,0.265798823072957,0,0,0.0638680984230935,0.148577192673224,0,0,0,0,0.0618721435092062,0,0.0796708885246329,0.0108957162201037,0.0147227540586056,0.091010112600939,0,0.0027203097981195,0.0125841832687004,0,0,0.119823492025567,0,0.510726638666026,0.859031416599704
spleen_3d,0.104402861814942,0.268081933921472,0,0.100108093724839,0.098739942366775,0.101515224307842,0,0,0,0,0.0921662842615285,0.00936106812396256,0.0473834304224411,0.00233047947639019,0.00249155091202228,0.0658347399588208,0,0.00307190743529957,0.0375544063747751,0,0,0.0669580768988907,0,0.513539900796268,0.857340460701765
