"","logFC","logCPM","PValue","FDR"
"ANGPT2",-4.66316818961852,4.11693259553407,7.04727448985036e-19,4.97679139955721e-17
"TINAGL1",2.87556455390537,6.53479281672317,7.17070217126982e-19,5.04193893538155e-17
"SDPR",2.89764565618437,7.57633720367521,8.54296540165123e-19,5.98081543183998e-17
"FGF1",4.02056376374923,3.63531682730605,9.78755467149391e-19,6.82260060980171e-17
"ETS2",2.37945210818733,8.47185490700036,1.09482254037591e-18,7.59891421586232e-17
"TNFRSF10C",3.24519375663637,3.27086240375014,1.12163712592229e-18,7.75175880359627e-17
"CMTM2",5.1531655075696,1.74354264465622,1.12692272306455e-18,7.75514650102122e-17
"TPPP",3.18115911108424,3.36453437860517,1.53901194841765e-18,1.05461445889027e-16
"LOC285762",7.21046866238182,2.29712029713421,1.63636149376154e-18,1.11659232392876e-16
"TACR1",-4.66500755156677,1.95226513536831,1.89380126292964e-18,1.28683000101253e-16
"PRKAA2",3.22281331854332,2.49211368855331,2.07289284393824e-18,1.40262858042549e-16
"STK32B",-3.59498769902574,1.95335240534673,2.12632546827751e-18,1.432788978041e-16
"TPO",3.89312227234658,3.02593419147993,2.15514751917694e-18,1.44618446805516e-16
"MEFV",3.34025641142137,3.77795189591349,2.2092895734199e-18,1.476389709973e-16
"MYCT1",2.84352079337846,6.15096920316069,2.90899932362091e-18,1.93598094903693e-16
"PTK7",2.22175770958533,5.53295895500757,3.75370346492137e-18,2.48790542765199e-16
"AGTR1",3.5513083168035,3.32662993294541,3.77927349844451e-18,2.4946290210957e-16
"UNC13A",2.65644283442324,3.68960482086201,3.9526404645507e-18,2.59845941433797e-16
"MEG3",5.11086651581961,6.40213858586708,4.17039999478001e-18,2.73051452289807e-16
"LGR4",2.81555843768525,5.05635254120632,4.90262824494082e-18,3.19698806359609e-16
"VIP",3.49183828498676,1.71734592945916,5.34856776521015e-18,3.47377662244893e-16
"MPPED2",3.99691998993122,1.77891083689703,5.54590937115841e-18,3.58753785401495e-16
"SNCG",2.66708822673239,4.51599517936191,6.58479029358928e-18,4.24259875011656e-16
"SLC16A9",4.51703653411903,6.25586876883591,6.85478524777093e-18,4.39903123122824e-16
"GRB14",5.02350438125923,0.285925782177712,7.05472501595218e-18,4.50944715248928e-16
"COPG2IT1",3.99973652150797,2.1605096984302,8.05637376255201e-18,5.12943608220437e-16
"TM4SF18",2.55680278796579,5.88964506402332,8.85100154307196e-18,5.5953317094377e-16
"RAPH1",2.14680547028313,6.566413119359,8.85731460311681e-18,5.5953317094377e-16
"CCND1",1.89749660093422,6.78831400780075,9.15100220879759e-18,5.75836605917022e-16
"RERG",2.94465239140467,5.13462212134741,9.70536175164416e-18,6.08353140494532e-16
"PHOSPHO1",3.98391697620992,3.51366368403658,1.03685673210956e-17,6.47414944852345e-16
"PALM",3.22999777310352,4.15423676782422,1.17805715474879e-17,7.32751550253745e-16
"FGD5",2.60832000028983,6.50918772969265,1.43803595718811e-17,8.9103132182552e-16
"GP9",7.74852564045192,0.0971757101424727,2.19441261899589e-17,1.35450537688556e-15
"GPR88",5.71828740298235,3.93537201257745,2.41266002195735e-17,1.4835565731975e-15
"ITGA1",3.11911329673766,7.72328215191371,2.70391896643265e-17,1.65635520928594e-15
"SOAT2",3.74817122325741,1.99147710522358,2.84149250157021e-17,1.73406100888277e-15
"MCF2L2",2.47880453229521,2.80192104202791,3.49720649217589e-17,2.12619636810032e-15
