"","logFC","logCPM","PValue","FDR"
"RGS13",-6.37855644079091,6.44894990139962,1.06595500208569e-06,1.44135654629848e-05
"SERPINA9",-6.40612558090126,5.12496193647537,1.0958125730621e-06,1.47679007763002e-05
"SELE",-6.15329967624694,2.88456132762156,1.12413915152323e-06,1.51244412299781e-05
"SHISA3",-4.35628469079954,3.31064008458257,1.17550032049217e-06,1.57499512700906e-05
"NKX3-2",4.21523802325876,1.70823181136799,1.79366692542177e-06,2.34117687795972e-05
"TG",-5.578027035357,4.85892733385269,2.57160777137321e-06,3.22138194257533e-05
"CHIT1",-4.32481364703662,5.05197046946437,2.61944769602231e-06,3.2787699798818e-05
"IL21",-6.05852576989256,0.943569370173916,3.28057133479034e-06,3.99498491161366e-05
"RP11-555F9.2",-5.79190636238521,1.14780371961274,4.25374962616745e-06,5.05820874664559e-05
"FAM9C",7.71289862966832,5.82323231429047,6.44667586435302e-06,7.36268658745177e-05
"CLSTN2",-4.31236129789163,2.89653789547931,1.33886374382873e-05,0.000143486444434713
"VIT",-4.33718645626457,1.74598575794746,1.98473471145355e-05,0.000204440316902082
"TPSAB1",-4.63232496664736,2.63658749611096,2.31099826104813e-05,0.00023198922332508
"DSC3",-4.21755318849505,0.560729698920273,2.36321062548134e-05,0.000236642985976992
"AICDA",-4.62376433240047,4.62254610368923,4.08330967624226e-05,0.000385045388246004
"DEFA3",4.18075158224112,2.19839360101479,4.12151147641213e-05,0.000387620050209749
"CCL5_1",4.1135888376377,1.37065643991153,0.000112947267477772,0.000914663600225603
"TPSB2",-4.92074931541795,3.60341939698167,0.000118592242847082,0.000955592302602394
"LBP",-5.3234645591954,1.55415942233991,0.000134983567755809,0.0010658956336655
"CCL20",-4.74546725680257,1.38305005939136,0.000151890603054406,0.00118094943874801
"CLDN16",-4.18178943444531,1.78241366784104,0.000174095099170587,0.00132536492078362
"IGHA2",4.65683206528842,3.02096035402409,0.000856832300685819,0.00497368699450505
"LILRB2",4.09230852903051,1.23053222653259,0.00115906963708233,0.00639306758898205
