"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043236","GO:0043236","laminin binding","9/1074","28/18432",1.88674180429817e-05,0.000843373586521282,0.000708024687612945,"59277/3673/64129/2817/9353/284297/1893/4059/375790",9
"GO:0045499","GO:0045499","chemorepellent activity","9/1074","28/18432",1.88674180429817e-05,0.000843373586521282,0.000708024687612945,"2045/223117/10501/10512/6405/1946/7869/56920/23767",9
"GO:0008574","GO:0008574","plus-end-directed microtubule motor activity","7/1074","17/18432",2.59360713299221e-05,0.00110413560804526,0.000926938288633307,"57576/124602/547/3832/81930/1062/9928",7
"GO:0005261","GO:0005261","cation channel activity","40/1074","346/18432",2.80159961983327e-05,0.00113846820915043,0.000955761018632117,"79400/1137/776/9312/3768/10242/1259/11280/57156/2823/3772/3745/57582/3762/285175/83959/1134/6616/6262/6332/3752/6263/6324/55283/9127/80036/7881/3359/30818/3777/6330/6335/9033/3759/30820/2893/3773/6338/2892/8913",40
"GO:0045236","GO:0045236","CXCR chemokine receptor binding","7/1074","18/18432",4.03082717443805e-05,0.00156676499736853,0.00131532255165873,"6372/5473/2919/5196/2920/6376/4283",7
"GO:0004713","GO:0004713","protein tyrosine kinase activity","21/1074","138/18432",4.89610184192863e-05,0.00181416883134178,0.00152302175526514,"2045/2264/3643/2046/7010/2261/79834/4920/558/2242/2044/2050/4593/9625/7301/6725/4058/5156/55872/9833/7272",21
"GO:0042379","GO:0042379","chemokine receptor binding","14/1074","71/18432",5.07317905856201e-05,0.00181416883134178,0.00152302175526514,"6372/5473/2919/6366/6363/10763/5196/1524/6357/2920/6376/4283/6361/6364",14
"GO:0008528","GO:0008528","G protein-coupled peptide receptor activity","21/1074","147/18432",0.000124320691221075,0.00427471915198621,0.00358869039840594,"3577/3579/6869/185/4883/187/4888/2861/1524/6752/5745/10316/10268/2149/9294/2357/2840/4886/2358/1232/4889",21
"GO:0035374","GO:0035374","chondroitin sulfate binding","5/1074","10/18432",0.000131056743198356,0.00433943438590111,0.00364301980118626,"146760/65078/4192/375790/5764",5
"GO:0031406","GO:0031406","carboxylic acid binding","23/1074","171/18432",0.000153449936345642,0.00489943725332156,0.00411315054941514,"1381/4846/6403/9370/114132/5104/6279/6280/2219/65078/2167/116362/4843/375790/6401/400709/286256/1719/2170/6505/5836/7298/283208",23
"GO:0008146","GO:0008146","sulfotransferase activity","11/1074","52/18432",0.00016583678881861,0.00511234790358061,0.00429189221153064,"83539/23302/9348/9951/3340/64579/25830/56548/166012/10164/6799",11
"GO:0033691","GO:0033691","sialic acid binding","7/1074","22/18432",0.000175842096706564,0.00524009448185561,0.00439913736672913,"6403/9370/114132/2219/375790/6401/400709",7
"GO:0001653","GO:0001653","peptide receptor activity","21/1074","153/18432",0.000219879033607673,0.00634102761436322,0.00532338712944893,"3577/3579/6869/185/4883/187/4888/2861/1524/6752/5745/10316/10268/2149/9294/2357/2840/4886/2358/1232/4889",21
"GO:0017147","GO:0017147","Wnt-protein binding","8/1074","30/18432",0.000239501639135779,0.00650531952136698,0.00546131263244396,"4920/6422/115908/8325/388630/2487/11211/6423",8
"GO:0030215","GO:0030215","semaphorin receptor binding","7/1074","23/18432",0.000240129244077304,0.00650531952136698,0.00546131263244396,"223117/10501/10512/6405/7869/5364/56920",7
"GO:0005001","GO:0005001","transmembrane receptor protein tyrosine phosphatase activity","6/1074","17/18432",0.000273748871547384,0.00699232831895319,0.00587016377182812,"5794/5787/5799/5801/5803/5789",6
